
	Position			X			Y			Z			Units


	zeropos				0			0			0			mm
	Cell_phys0_pos                     0.0                 0.0                 50.0                mm
	Coll_phys0_pos                     0.0                 0.0                 -445.3              mm
	WS_section0_phys0_pos              0.0                 0.0                 74.375              mm
	WS_section1_phys0_pos              0.0                 0.0                 64.375              mm
	WS_section2_phys0_pos              0.0                 0.0                 54.375              mm
	WS_section3_phys0_pos              0.0                 0.0                 44.375              mm
	WS_section4_phys0_pos              0.0                 0.0                 34.375              mm
	WS_section5_phys0_pos              0.0                 0.0                 24.375              mm
	WS_section6_phys0_pos              0.0                 0.0                 14.375              mm
	WS_section7_phys0_pos              0.0                 0.0                 4.375               mm
	WS_section8_phys0_pos              0.0                 0.0                 -5.625              mm
	WS_section9_phys0_pos              0.0                 0.0                 -15.625             mm
	WS_section10_phys0_pos             0.0                 0.0                 -25.625             mm
	WS_section11_phys0_pos             0.0                 0.0                 -35.625             mm
	WS_section12_phys0_pos             0.0                 0.0                 -45.625             mm
	WS_section13_phys0_pos             0.0                 0.0                 -55.625             mm
	WS_section14_phys0_pos             0.0                 0.0                 -65.625             mm
	WS_section15_phys0_pos             0.0                 0.0                 -75.000             mm
	WC_layer_phys0_pos		6.157429		-0.538705		-10			mm
	WC_layer_phys1_pos		0			0			0			mm
	WC_layer_phys2_pos		-6.157429		0.538705		10			mm
	WC_layer_phys3_pos		6.157429		0.538705		-10			mm
	WC_layer_phys4_pos		0			0			0			mm
	WC_layer_phys5_pos		-6.157429		-0.538705		10			mm
	WC_wire0_superlayer0_phys0_pos		-0.5			0.043744		-10			mm
	WC_wire1_superlayer0_phys0_pos		0.5			-0.043744		0			mm
	WC_wire2_superlayer0_phys0_pos		-0.5			0.043744		10			mm
	WC_wire0_superlayer1_phys0_pos		-0.5			-0.043744		-10			mm
	WC_wire1_superlayer1_phys0_pos		0.5			0.043744		0			mm
	WC_wire2_superlayer1_phys0_pos		-0.5			-0.043744		10			mm
	WC_superlayer_phys0_pos		18.542847		0			-30			mm
	WC_superlayer_phys1_pos		-18.542847		0			30			mm
	WC_chamber_phys0_pos		231.8591		-5.26			-411.192		mm
	WC_chamber_phys1_pos		-22.2221		-3.45			6.153688		mm
	WC_chamber_phys2_pos		-277.742		-2.33			423.7216		mm
	WC_chamber_2_phys0_pos		236.5956		5.72			-408.89			mm
	WC_chamber_2_phys1_pos		-18.4824		3.91			8.36466 	 	mm
	WC_chamber_2_phys2_pos		-275.326		1.25			425.6876		mm
	WC_window_phys0_pos		325.393282		0			-526.4455		mm
	WC_window_phys1_pos		-325.393282		0			526.4455		mm
	WC_window_2_phys0_pos		325.393282		0			-526.4455		mm
	WC_window_2_phys1_pos		-325.393282		0			526.4455		mm
	WC_wire0_phys0_pos		-677.6986486		59.29094904		-0.0001763		mm
	WC_wire0_phys1_pos		-599.698413		52.46681267		-0.0001676		mm
	WC_wire0_phys2_pos		-521.6981773		45.6426763		-0.0001589		mm
	WC_wire0_phys3_pos		-443.6979416		38.81853992		-0.0001502		mm
	WC_wire0_phys4_pos		-365.697706		31.99440355		-0.0001416		mm
	WC_wire0_phys5_pos		-287.6974703		25.17026718		-0.0001329		mm
